"source"|"name"
"DESKTOP"|"DESKTOP"
"Taskmgr"|"Taskmgr"
"Services"|"Services"
"mmc"|"mmc"
"VSTOInstaller"|"VSTOInstaller"
"PBWinTrack Properties"|"PBWinTrack Properties"
"Search"|"search"
"Firefox by default shares data to: — Mozilla - Mozilla Firefox"|"Firefox by default shares data to: — Mozilla - Mozilla Firefox"
"First things first."|"First things first."
"WINWORD"|"WINWORD"
"Windows Default Lock Screen"|"Windows Default Lock Screen"
"cmd"|"cmd"
"notepad"|"Notepad"
"ImagineLearning"|"ImagineLearning"
"x86"|"x86"
"PBWinTrack"|"PBWinTrack"
"Program Manager"|"Program Manager"
"Program Files (x86)"|"Program Files (x86)"
"Battery Meter"|"Battery Meter"
"M-DCPS Employees Page - Google Chrome"|"M-DCPS Employees Page - Google Chrome"
"MagicBox Study"|"MagicBox Study"
"Start"|"Start"
"Run"|"run"
"Network Connections"|"Network Connections"
"Snap Assist"|"Snap Assist"
"Miami-Dade County Public Schools - Workplace - Google Chrome"|"Miami-Dade County Public Schools - Workplace - Google Chrome"
"Raspberry Pi 3B+ Specs and Benchmarks - The MagPi MagazineThe MagPi Magazine - Google Chrome (Not Responding)"|"Raspberry Pi 3B+ Specs and Benchmarks - The MagPi MagazineThe MagPi Magazine - G"
"dwm"|"dwm"
"SQLiteDatabaseBrowserPortable_3.10.1_English.paf"|"SQLiteDatabaseBrowserPortable_3.10.1_English.paf"
"DB Browser for SQLite Portable | PortableApps.com Installer"|"DB Browser for SQLite Portable | PortableApps.com Installer"
"DB Browser for SQLite"|"DB Browser for SQLite"
"Windows (C:)"|"Windows (C:)"
"DB Browser for SQLite - Google Chrome"|"DB Browser for SQLite - Google Chrome"
"File Explorer"|"File Explorer"
"Miami-Dade County Public Schools - Google Chrome"|"Miami-Dade County Public Schools - Google Chrome"
"Choose a database file"|"Choose a database file"
"SQLCipher encryption"|"SQLCipher encryption"
"SystemSettings"|"SystemSettings"
"Best Deals Freebies and Coupons at Spoofee - Google Chrome"|"Best Deals Freebies and Coupons at Spoofee - Google Chrome"
"LanSchool Teacher Console"|"LanSchool Teacher Console"
"Mozilla Firefox"|"Mozilla Firefox"
"Keyboard Manager"|"Keyboard Manager"
"Default Browser"|"Default Browser"
"Administrator: C:\WINDOWS\system32\cmd.exe - ipconfig"|"Administrator: C:\WINDOWS\system32\cmd.exe - ipconfig"
"Lightspeed System - Web Access - Mozilla Firefox"|"Lightspeed System - Web Access - Mozilla Firefox"
"(4) Miami-Dade County Public Schools - Workplace - Google Chrome"|"(4) Miami-Dade County Public Schools - Workplace - Google Chrome"
"Settings"|"Settings"
"ApplicationFrameHost"|"applicationframehost"
"updater"|"updater"
"System"|"system"
"The power of compounding ~ Get Rich Slowly - Mozilla Firefox"|"The power of compounding ~ Get Rich Slowly - Mozilla Firefox"
"tftpd32"|"tftpd32"
"Progress"|"Progress"
"Network Flyout"|"Network Flyout"
"Ethernet Properties"|"Ethernet Properties"
"46% complete"|"46% complete"
"Internet Protocol Version 4 (TCP/IPv4) Properties"|"Internet Protocol Version 4 (TCP/IPv4) Properties"
"TFTPD"|"TFTPD"
"94% complete"|"94% complete"
"Windows Ink Workspace"|"Windows Ink Workspace"
"iexplore"|"iexplore"
"UsoClient"|"UsoClient"
"Home - Student Portal - Internet Explorer"|"Home - Student Portal - Internet Explorer"
"Jump List for Google Chrome"|"Jump List for Google Chrome"
"conhost"|"conhost"
"New Tab - Google Chrome"|"New Tab - Google Chrome"
"Volume Control"|"Volume Control"
"Home - Apps | Services | Sites - Internet Explorer"|"Home - Apps | Services | Sites - Internet Explorer"
"Log in with Clever - Internet Explorer"|"Log in with Clever - Internet Explorer"
"Blank Page - Internet Explorer"|"Blank Page - Internet Explorer"
"New Tab - Google Chrome (Not Responding)"|"New Tab - Google Chrome (Not Responding)"
"mspaint"|"mspaint"
"i-Ready - Working with Words: 22 - Google Chrome"|"i-Ready - Working with Words: 22 - Google Chrome"
"Enrique Iglesias - EL BAÑO ft. Bad Bunny - YouTube - Google Chrome"|"Enrique Iglesias - EL BAÑO ft. Bad Bunny - YouTube - Google Chrome"
"Save As"|"Save As"
"Do you want to leave this site?"|"Do you want to leave this site?"
"today intervention in syria - Google Search - Google Chrome"|"today intervention in syria - Google Search - Google Chrome"
"Connect With Students and Parents in Your Paperless Classroom | Edmodo - Google Chrome"|"Connect With Students and Parents in Your Paperless Classroom | Edmodo - Google "
"us intervention in panama - Google Search - Google Chrome"|"us intervention in panama - Google Search - Google Chrome"
"Dragon Ball Super [AMV] - Goku vs Kefla - The Resistance - YouTube - Google Chrome"|"Dragon Ball Super [AMV] - Goku vs Kefla - The Resistance - YouTube - Google Chro"
"YouTube - Google Chrome"|"YouTube - Google Chrome"
