name|displayName|address|phone|fax|website|orgId|parentId|created_at|updated_at|zipCode|stateCode|created
PaperBasket||||||1|0|||||2018-12-07 05:20:55
NY District||1827 Fritsch Route, Lake Omertown, UT|688-485-9681|243-196-4988||1|1|||||2018-12-07 05:20:55
East||8610 Paolo Turnpike, Smithammouth, MD|912-337-7885|879-344-4129||1|1|||||2018-12-07 05:20:55
West||82755 Orlo Burgs, Lake Everettehaven, RI|054-471-7679|932-682-5504||1|1|||||2018-12-07 05:20:55
Essex||94656 Larry Mills, North Roderickchester, RI|072-627-6742|728-525-3644||1|2|||||2018-12-07 05:20:55
Orange||601 Shayna Fall, South Eugenestad, TX|481-719-4865|978-033-6421||1|2|||||2018-12-07 05:20:55
Queens||62533 Witting Springs, Cassinfurt, NC|303-874-3840|382-994-9668||1|3|||||2018-12-07 05:20:55
paperbasket||||||1|0|||||2018-12-07 05:20:55
edtech||||||25|0|2017-09-21 00:00:00|2017-09-21 00:00:00|||2018-12-07 05:20:55
east||||||25|43|2017-09-22 17:48:41|2017-09-22 17:48:41|||2018-12-07 05:20:55
west||||||25|43|2017-09-22 17:49:06|2017-09-22 17:49:06|||2018-12-07 05:20:55
orgx||||||0|0|2017-09-26 16:55:46|2017-09-26 16:55:46|||2018-12-07 05:20:55
E1||||||0|81|2017-09-26 16:55:46|2017-09-26 16:55:46|||2018-12-07 05:20:55
GCISD||||||32|0|2017-09-26 18:54:06|2017-09-26 18:54:06|||2018-12-07 05:20:55
Colleyville Middle School||||||32|88|2017-09-26 18:54:06|2017-09-26 18:54:06|||2018-12-07 05:20:55
Grapevine High School||||||32|88|2017-09-26 18:54:06|2017-09-26 18:54:06|||2018-12-07 05:20:55
Reeds Spring R-IV School District||||||0|0|2017-10-24 20:04:38|2017-10-24 20:04:38|||2018-12-07 05:20:55
edtechdigest||Demo Address|1234567890|||36|0|||||2018-12-07 05:20:55
School A||5678876|56787656799|||36|98|||||2018-12-07 05:20:55
School B||678987678|67876788888|||36|98|||||2018-12-07 05:20:55
MDCPS||123 test st|1234567890|||39|0|2018-03-07 13:26:44|2018-03-07 13:26:44|||2018-12-07 05:20:55
testorg99||999 some st|191919199|1818181818||0|0|2018-03-07 14:05:03|2018-03-07 14:05:03|||2018-12-07 05:20:55
Demo||123 test|12345678990|||39|107|2018-03-07 16:11:57|2018-03-07 16:11:57|||2018-12-07 05:20:55
NJ State||234 test street|2345678543|||0|0|2018-03-15 13:53:20|2018-03-15 13:53:20|||2018-12-07 05:20:55
EdDis01||asdfasfd|3452543245|||0|111|2018-03-15 14:03:36|2018-03-15 14:03:36|||2018-12-07 05:20:55
schA||jhgfhjfgj|69679868999|||0|112|2018-03-15 14:03:36|2018-03-15 14:03:36|||2018-12-07 05:20:55
G01||asdfasfdh|0987654345|||0|113|2018-03-15 14:03:36|2018-03-15 14:03:36|||2018-12-07 05:20:55
C11||dfhgdfghj|9876546777|||0|114|2018-03-15 14:03:36|2018-03-15 14:03:36|||2018-12-07 05:20:55
G02||yunrtnyur|80967446799|||0|113|2018-03-15 14:03:36|2018-03-15 14:03:36|||2018-12-07 05:20:55
 schB||dsfgsdfgsdgf|2345678544|||0|112|2018-03-15 14:03:36|2018-03-15 14:03:36|||2018-12-07 05:20:55
EdDis02||adfasdfasdf|34523452345|||0|111|2018-03-15 14:03:36|2018-03-15 14:03:36|||2018-12-07 05:20:55
school1||miami dade|1234567891|||25|107|2018-04-04 17:39:42|2018-04-04 17:39:42|||2018-12-07 05:20:55
7071||miami dade2|0987654321|||39|107|2018-04-04 17:47:21|2018-04-04 17:47:21|||2018-12-07 05:20:55
6801||md st|1112223334|||39|107|2018-04-04 17:47:21|2018-04-04 17:47:21|||2018-12-07 05:20:55
0521||md st2|9998887777|||39|107|2018-04-04 17:47:21|2018-04-04 17:47:21|||2018-12-07 05:20:55
Bridgehead||miami dade3|1234567897|||39|107|2018-04-04 17:55:09|2018-04-04 17:55:09|||2018-12-07 05:20:55
Great Oaks Career Campuses||100 Scarlet Oaks Dr., Cincinnati|5136123680|||43|0|2018-04-16 18:20:06|2018-04-16 18:20:06|||2018-12-07 05:20:55
Great Oak||123 test st|1234567890|||0|0|2018-04-16 18:20:29|2018-04-16 18:20:29|||2018-12-07 05:20:55
GR03|Diamond Oaks Career Campus|||||43|124|||||2018-12-07 05:20:55
GR04|Laurel Oaks Career Campus|||||43|124|||||2018-12-07 05:20:55
GR02|Live Oaks Career Campus|||||43|124|||||2018-12-07 05:20:55
GR01|Scarlet Oaks Career Campus|||||43|124|||||2018-12-07 05:20:55
DO|District Office|||||43|124|||||2018-12-07 05:20:55
IRC|Instructional Resource Center|||||43|124|||||2018-12-07 05:20:55
PSS|Public Safety Services|||||43|124|||||2018-12-07 05:20:55
GR08|Batavia Satellite|||||43|124|||||2018-12-07 05:20:55
GR09|Blanchester Satellite|||||43|124|||||2018-12-07 05:20:55
GR31|Deer Park Satellite|||||43|124|||||2018-12-07 05:20:55
GR10|East Clinton Satellite|||||43|124|||||2018-12-07 05:20:55
GR11|Finneytown Satellite|||||43|124|||||2018-12-07 05:20:55
GR12|Forest Hills Satellite|||||43|124|||||2018-12-07 05:20:55
GR13|Goshen Satellite|||||43|124|||||2018-12-07 05:20:55
GR24|Harrison Satellite|||||43|124|||||2018-12-07 05:20:55
HPA|Health Professions Academy Satellite|||||43|124|||||2018-12-07 05:20:55
GR32|Loveland Satellite|||||43|124|||||2018-12-07 05:20:55
GR15|Lynchburgh Satellite|||||43|124|||||2018-12-07 05:20:55
