id|name|displayName|address|phone|fax|website|orgId|parentId|created_at|updated_at|zipCode|stateCode|created
1|PaperBasket||NULL|NULL|NULL|NULL|1|NULL|NULL|NULL|NULL|NULL|2018-12-07 05:20:55
2|NY District||1827 Fritsch Route, Lake Omertown, UT|688-485-9681|243-196-4988|NULL|1|1|NULL|NULL|NULL|NULL|2018-12-07 05:20:55
3|East||8610 Paolo Turnpike, Smithammouth, MD|912-337-7885|879-344-4129|NULL|1|1|NULL|NULL|NULL|NULL|2018-12-07 05:20:55
4|West||82755 Orlo Burgs, Lake Everettehaven, RI|054-471-7679|932-682-5504|NULL|1|1|NULL|NULL|NULL|NULL|2018-12-07 05:20:55
5|Essex||94656 Larry Mills, North Roderickchester, RI|072-627-6742|728-525-3644|NULL|1|2|NULL|NULL|NULL|NULL|2018-12-07 05:20:55
6|Orange||601 Shayna Fall, South Eugenestad, TX|481-719-4865|978-033-6421|NULL|1|2|NULL|NULL|NULL|NULL|2018-12-07 05:20:55
7|Queens||62533 Witting Springs, Cassinfurt, NC|303-874-3840|382-994-9668|NULL|1|3|NULL|NULL|NULL|NULL|2018-12-07 05:20:55
37|paperbasket||NULL|NULL|NULL|NULL|1|NULL|NULL|NULL|NULL|NULL|2018-12-07 05:20:55
43|edtech||NULL|NULL|NULL|NULL|25|NULL|2017-09-21 00:00:00|2017-09-21 00:00:00|NULL|NULL|2018-12-07 05:20:55
47|east||NULL|NULL|NULL|NULL|25|43|2017-09-22 17:48:41|2017-09-22 17:48:41|NULL|NULL|2018-12-07 05:20:55
48|west||NULL|NULL|NULL|NULL|25|43|2017-09-22 17:49:06|2017-09-22 17:49:06|NULL|NULL|2018-12-07 05:20:55
81|orgx||NULL|NULL|NULL|NULL|NULL|NULL|2017-09-26 16:55:46|2017-09-26 16:55:46|NULL|NULL|2018-12-07 05:20:55
82|E1||NULL|NULL|NULL|NULL|NULL|81|2017-09-26 16:55:46|2017-09-26 16:55:46|NULL|NULL|2018-12-07 05:20:55
88|GCISD||NULL|NULL|NULL|NULL|32|NULL|2017-09-26 18:54:06|2017-09-26 18:54:06|NULL|NULL|2018-12-07 05:20:55
89|Colleyville Middle School||NULL|NULL|NULL|NULL|32|88|2017-09-26 18:54:06|2017-09-26 18:54:06|NULL|NULL|2018-12-07 05:20:55
