id|activeTime|inactiveTime|timestamp|senderId|orgId|entityId|domainId|favoriteId|dt|type
176216327|0|581|1542820953|762|25|43|15761|75|2018-11-21|website
176219861|321|200|1542821162|918|25|43|15761|75|2018-11-21|website
176226630|38|360|1542821639|1149|25|43|15761|75|2018-11-21|website
176235735|5|152|1542821092|1406|25|43|15761|75|2018-11-21|website
176238438|410|6752|1542821382|1478|25|43|15761|75|2018-11-21|website
176238583|26|588|1542821379|1483|25|43|15761|75|2018-11-21|website
176242457|0|3858|1542821570|1574|25|43|15761|75|2018-11-21|website
176244748|28|7301|1542821590|792909|25|43|15761|75|2018-11-21|website
176245139|0|4114|1542821218|792995|25|43|15761|75|2018-11-21|website
176245496|67|0|1542821571|793115|25|43|15761|75|2018-11-21|website
176354906|1565|1328|1542821111|660|25|43|318|77|2018-11-21|website
176361743|0|1162|1542820953|762|25|43|318|77|2018-11-21|website
176370643|5|1390|1542821435|905|25|43|318|77|2018-11-21|website
176371372|0|2039|1542821002|916|25|43|318|77|2018-11-21|website
176371440|191|8|1542821162|918|25|43|318|77|2018-11-21|website
176384116|318|54|1542821639|1149|25|43|318|77|2018-11-21|website
176387478|918|4969|1542821658|1199|25|43|318|77|2018-11-21|website
176399086|707|127|1542821092|1406|25|43|318|77|2018-11-21|website
176399743|33|15|1542821003|1416|25|43|318|77|2018-11-21|website
176400400|8465|15294|1542821540|1427|25|43|318|77|2018-11-21|website
176403247|3407|2073|1542821382|1478|25|43|318|77|2018-11-21|website
176403454|261|957|1542821379|1483|25|43|318|77|2018-11-21|website
176408899|71|7716|1542821570|1574|25|43|318|77|2018-11-21|website
176413696|4346|521|1542821590|792909|25|43|318|77|2018-11-21|website
176415505|2186|1942|1542821571|793115|25|43|318|77|2018-11-21|website
176419050|125|2185|1542821395|793492|25|43|318|77|2018-11-21|website
176498179|2511|32|1542821741|6302364|44|155|25703|294|2018-11-21|website
176500423|22192|0|1542821546|6301745|44|155|8|295|2018-11-21|website
176500814|24192|2282|1542821016|6299543|44|155|8|295|2018-11-21|website
176523903|0|6|1546681619|NULL|25|43|15761|75|2019-01-05|NULL
176523904|0|2|1546741820|NULL|25|43|15761|75|2019-01-06|NULL
176523905|0|1|1546859280|NULL|25|43|15761|75|2019-01-07|NULL
176523906|0|3|1546937930|NULL|25|43|15761|75|2019-01-08|NULL
176523907|0|2|1547033315|NULL|25|43|15761|75|2019-01-09|NULL
176523908|18|1479|1547089221|NULL|25|43|15761|75|2019-01-10|NULL
176523909|0|1|1547225798|NULL|25|43|15761|75|2019-01-11|NULL
176523910|0|7|1547270254|NULL|25|43|15761|75|2019-01-12|NULL
176523911|52|749|1547359539|NULL|25|43|15761|75|2019-01-13|NULL
176523912|0|11|1547444049|NULL|25|43|15761|75|2019-01-14|NULL
176523913|0|5|1547544401|NULL|25|43|15761|75|2019-01-15|NULL
176523914|0|14|1547620981|NULL|25|43|15761|75|2019-01-16|NULL
176523915|0|10|1547711095|NULL|25|43|15761|75|2019-01-17|NULL
176523916|0|4|1547805525|NULL|25|43|15761|75|2019-01-18|NULL
176523917|137|568|1547876842|NULL|25|43|15761|75|2019-01-19|NULL
176523918|0|3|1547970008|NULL|25|43|15761|75|2019-01-20|NULL
176523919|0|3|1548076870|NULL|25|43|15761|75|2019-01-21|NULL
176523920|0|9|1548155147|NULL|25|43|15761|75|2019-01-22|NULL
176523921|0|2|1548237745|NULL|25|43|15761|75|2019-01-23|NULL
176523922|0|15|1548308378|NULL|25|43|15761|75|2019-01-24|NULL
176523923|0|7|1548388070|NULL|25|43|15761|75|2019-01-25|NULL
176523924|0|6|1548486852|NULL|25|43|15761|75|2019-01-26|NULL
176523925|1|4|1548572572|NULL|25|43|15761|75|2019-01-27|NULL
176523926|0|10|1548658087|NULL|25|43|15761|75|2019-01-28|NULL
176523927|55|48|1548730793|NULL|25|43|15761|75|2019-01-29|NULL
176523928|26754|7595|1548808124|NULL|25|43|15761|75|2019-01-30|NULL
176523929|154117|30502|1548895511|NULL|25|43|15761|75|2019-01-31|NULL
176523930|181569|21042|1548983623|NULL|25|43|15761|75|2019-02-01|NULL
176523931|37041|27308|1549067241|NULL|25|43|15761|75|2019-02-02|NULL
176523932|118454|27845|1549156450|NULL|25|43|15761|75|2019-02-03|NULL
176523933|3|128|1549249049|NULL|25|43|15761|75|2019-02-04|NULL
176523934|182332|5774|1549334235|NULL|25|43|15761|75|2019-02-05|NULL
176523935|9797|17637|1549427125|NULL|25|43|15761|75|2019-02-06|NULL
176523936|500352|36551|1549498929|NULL|25|43|15761|75|2019-02-07|NULL
176523937|13019|36128|1549584209|NULL|25|43|15761|75|2019-02-08|NULL
176523938|10977|38601|1549672958|NULL|25|43|15761|75|2019-02-09|NULL
176523939|12634|119117|1549886783|NULL|25|43|15761|75|2019-02-11|NULL
176523940|1310|18198|1549930170|NULL|25|43|15761|75|2019-02-12|NULL
176523941|9754|65824|1550018282|NULL|25|43|15761|75|2019-02-13|NULL
176523942|8278|109404|1550103731|NULL|25|43|15761|75|2019-02-14|NULL
176523943|17998|98491|1550193082|NULL|25|43|15761|75|2019-02-15|NULL
176523944|444|8964|1550277708|NULL|25|43|15761|75|2019-02-16|NULL
176523945|1597|380|1550431195|NULL|25|43|15761|75|2019-02-17|NULL
176523946|3728|15145|1550449060|NULL|25|43|15761|75|2019-02-18|NULL
176523947|16240|66422|1550534679|NULL|25|43|15761|75|2019-02-19|NULL
176523948|8862|34221|1550621225|NULL|25|43|15761|75|2019-02-20|NULL
176523949|13255|73501|1550707929|NULL|25|43|15761|75|2019-02-21|NULL
176523950|14411|61413|1550794269|NULL|25|43|15761|75|2019-02-22|NULL
176523951|477|5995|1550893807|NULL|25|43|15761|75|2019-02-23|NULL
176523952|6539|12828|1550969492|NULL|25|43|15761|75|2019-02-24|NULL
176523953|18796|59593|1551055681|NULL|25|43|15761|75|2019-02-25|NULL
176523954|54027|66926|1551139309|NULL|25|43|15761|75|2019-02-26|NULL
176523955|14303|83192|1551226285|NULL|25|43|15761|75|2019-02-27|NULL
176523956|12976|71824|1551312748|NULL|25|43|15761|75|2019-02-28|NULL
176523957|8257|55624|1551401437|NULL|25|43|15761|75|2019-03-01|NULL
176523958|93|8352|1551486713|NULL|25|43|15761|75|2019-03-02|NULL
176523959|978|10805|1551581161|NULL|25|43|15761|75|2019-03-03|NULL
176523960|1922|8741|1551659869|NULL|25|43|15761|75|2019-03-04|NULL
176523961|8208|44524|1551746816|NULL|25|43|15761|75|2019-03-05|NULL
176523962|6721|68169|1551835300|NULL|25|43|15761|75|2019-03-06|NULL
176523963|21543|92299|1551918977|NULL|25|43|15761|75|2019-03-07|NULL
176523964|6094|64469|1552006612|NULL|25|43|15761|75|2019-03-08|NULL
176523965|50|5594|1552106658|NULL|25|43|15761|75|2019-03-09|NULL
176523966|1009|13708|1552221959|NULL|25|43|15761|75|2019-03-10|NULL
176523967|22474|90624|1552263163|NULL|25|43|15761|75|2019-03-11|NULL
176523968|18109|99434|1552348910|NULL|25|43|15761|75|2019-03-12|NULL
176523969|20770|120570|1552436093|NULL|25|43|15761|75|2019-03-13|NULL
176523970|12002|126459|1552522654|NULL|25|43|15761|75|2019-03-14|NULL
176523971|21022|82879|1552608597|NULL|25|43|15761|75|2019-03-15|NULL
176523972|296|17190|1552696607|NULL|25|43|15761|75|2019-03-16|NULL
176523973|2035|21138|1552782862|NULL|25|43|15761|75|2019-03-17|NULL
