id|url|label|description|expiryDate|category|numLicenses|defaultCategory|optimalUsage|annualCost|entityId|orgId|domainId|in_sync|evt_fav_updated|is_enabled|created_at|updated_at
13|udemy.com|udemy.com||NULL|HIGH|NULL|NULL|NULL|NULL|1|1|193|1|2019-04-10 07:17:35|1|NULL|NULL
14|wikipedia.org|wikipedia.org||NULL|HIGH|NULL|NULL|NULL|NULL|1|1|14|1|2019-04-10 07:17:35|1|NULL|NULL
15|stanford.edu|stanford.edu||NULL|HIGH|NULL|NULL|NULL|NULL|1|1|33|1|2019-04-10 07:17:35|1|NULL|NULL
16|mit.edu|mit.edu||NULL|HIGH|NULL|NULL|NULL|NULL|1|1|51|1|2019-04-10 07:17:35|1|NULL|NULL
17|stackoverflow.com|stackoverflow.com||NULL|HIGH|NULL|NULL|NULL|NULL|1|1|63|1|2019-04-10 07:17:35|1|NULL|NULL
18|Excel|Excel||NULL|HIGH|NULL|NULL|NULL|NULL|1|1|19|1|2019-04-10 07:17:35|1|NULL|NULL
19|Numbers|Numbers||NULL|MODERATE|NULL|NULL|NULL|NULL|1|1|3|1|2019-04-10 07:17:35|1|NULL|NULL
20|Pages|Pages||NULL|MODERATE|NULL|NULL|NULL|NULL|1|1|6|1|2019-04-10 07:17:35|1|NULL|NULL
21|Photoshop|Photoshop||NULL|MODERATE|NULL|NULL|NULL|NULL|1|1|7|1|2019-04-10 07:17:35|1|NULL|NULL
22|Skype|Skype||NULL|MODERATE|NULL|NULL|NULL|NULL|1|1|11|1|2019-04-10 07:17:35|1|NULL|NULL
24|Keynote|Keynote||NULL|MODERATE|NULL|NULL|NULL|NULL|1|1|27|1|2019-04-10 07:17:35|1|NULL|NULL
25|Dropbox|Dropbox||NULL|HIGH|NULL|NULL|NULL|NULL|1|1|49|1|2019-04-10 07:17:35|1|NULL|NULL
36|facebook.com|facebook.com||NULL|MODERATE|NULL|NULL|NULL|NULL|1|1|2|1|2019-04-10 07:17:35|1|NULL|NULL
37|VLC Media Player|VLC Media Player||NULL|HIGH|NULL|NULL|NULL|NULL|1|1|1|1|2019-04-10 07:17:35|1|NULL|NULL
38|youtube.com|youtube.com||NULL|MODERATE|NULL|NULL|NULL|NULL|1|1|8|1|2019-04-10 07:17:35|1|NULL|NULL
39|twitter.com|twitter.com||NULL|NULL|NULL|NULL|NULL|NULL|1|1|4|1|2019-04-10 07:17:35|1|NULL|NULL
40|google.com|google.com||NULL|MODERATE|NULL|NULL|NULL|NULL|1|1|5|1|2019-04-10 07:17:35|1|NULL|NULL
41|mail.google.com|mail.google.com||NULL|HIGH|NULL|NULL|NULL|NULL|37|1|200|1|2019-04-10 07:17:35|1|NULL|NULL
42|Xcode|Xcode||NULL|HIGH|NULL|NULL|NULL|NULL|37|1|112|1|2019-04-10 07:17:35|1|NULL|NULL
43|Skype for Business |Skype for Business ||NULL|MODERATE|NULL|NULL|NULL|NULL|37|1|214|1|2019-04-10 07:17:35|1|NULL|NULL
44|Cortana|Cortana||NULL|MODERATE|NULL|NULL|NULL|NULL|37|1|216|1|2019-04-10 07:17:35|1|NULL|NULL
45|le.utah.gov|le.utah.gov||NULL|MODERATE|NULL|NULL|NULL|NULL|37|1|226|1|2019-04-10 07:17:35|1|NULL|NULL
46|Firefox|Firefox||NULL|MODERATE|NULL|NULL|NULL|NULL|37|1|237|1|2019-04-10 07:17:35|1|NULL|NULL
47|Mail|Mail||NULL|HIGH|NULL|NULL|NULL|NULL|37|1|239|1|2019-04-10 07:17:35|1|NULL|NULL
48|drive.google.com|drive.google.com||NULL|HIGH|NULL|NULL|NULL|NULL|37|1|255|1|2019-04-10 07:17:35|1|NULL|NULL
49|Photos|Photos||NULL|MODERATE|NULL|NULL|NULL|NULL|37|1|260|1|2019-04-10 07:17:35|1|NULL|NULL
50|Chart in Microsoft PowerPoint - |Chart in Microsoft PowerPoint - ||NULL|HIGH|NULL|NULL|NULL|NULL|37|1|268|1|2019-04-10 07:17:35|1|NULL|NULL
51|google|google||NULL|HIGH|NULL|NULL|NULL|NULL|37|1|270|1|2019-04-10 07:17:35|1|NULL|NULL
52|sb0222|sb0222||NULL|MODERATE|NULL|NULL|NULL|NULL|37|1|307|1|2019-04-10 07:17:35|1|NULL|NULL
53|uberconference|uberconference||NULL|MODERATE|NULL|NULL|NULL|NULL|37|1|315|1|2019-04-10 07:17:35|1|NULL|NULL
54|beta|beta||NULL|NULL|NULL|NULL|NULL|NULL|37|1|317|1|2019-04-10 07:17:35|1|NULL|NULL
55|docs.google.com|docs.google.com||NULL|HIGH|NULL|NULL|NULL|NULL|37|1|318|1|2019-04-10 07:17:35|1|NULL|NULL
56|paperbasket|paperbasket||NULL|MODERATE|NULL|NULL|NULL|NULL|37|1|319|1|2019-04-10 07:17:35|1|NULL|NULL
57|youtube.com|test1||NULL|MODERATE|NULL|NULL|NULL|NULL|37|1|8|1|2019-04-10 07:17:35|1|NULL|NULL
58|chrome.google.com|chrome.google.com||NULL|MODERATE|NULL|NULL|NULL|NULL|37|1|320|1|2019-04-10 07:17:35|1|NULL|NULL
59|accounts.google.com|accounts.google.com||NULL|MODERATE|NULL|NULL|NULL|NULL|37|1|324|1|2019-04-10 07:17:35|1|NULL|NULL
60|edx.org|edx.org||NULL|HIGH|NULL|NULL|NULL|NULL|37|1|505|1|2019-04-10 07:17:35|1|NULL|NULL
61|Microsoft PowerPoint|Microsoft PowerPoint||NULL|HIGH|NULL|NULL|NULL|NULL|37|1|434|1|2019-04-10 07:17:35|1|NULL|NULL
62|PowerPoint|PowerPoint||NULL|HIGH|NULL|NULL|NULL|NULL|37|1|20|1|2019-04-10 07:17:35|1|NULL|NULL
63|sciencedirect.com|sciencedirect.com||NULL|HIGH|NULL|NULL|NULL|NULL|37|1|21|1|2019-04-10 07:17:35|1|NULL|NULL
64|Keynote|Keynote||NULL|HIGH|NULL|NULL|NULL|NULL|37|1|27|1|2019-04-10 07:17:35|1|NULL|NULL
65|discovery.com|discovery.com||NULL|HIGH|NULL|NULL|NULL|NULL|37|1|29|1|2019-04-10 07:17:35|1|NULL|NULL
66|stanford.edu|stanford.edu||NULL|HIGH|NULL|NULL|NULL|NULL|37|1|33|1|2019-04-10 07:17:35|1|NULL|NULL
67|office.com|office.com||NULL|HIGH|NULL|NULL|NULL|NULL|37|1|52|1|2019-04-10 07:17:35|1|NULL|NULL
68|Conversation (35 Participants)|Conversation (35 Participants)||NULL|MODERATE|NULL|NULL|NULL|NULL|37|1|433|1|2019-04-10 07:17:35|1|NULL|NULL
69|Conversation (36 Participants)|Conversation (36 Participants)||NULL|MODERATE|NULL|NULL|NULL|NULL|37|1|432|1|2019-04-10 07:17:35|1|NULL|NULL
70|Conversation (37 Participants)|Conversation (37 Participants)||NULL|MODERATE|NULL|NULL|NULL|NULL|37|1|431|1|2019-04-10 07:17:35|1|NULL|NULL
71|Presentation1 - PowerPoint|Presentation1 - PowerPoint||NULL|HIGH|NULL|NULL|NULL|NULL|37|1|442|1|2019-04-10 07:17:35|1|NULL|NULL
