id|name|orgId|parentId|created_at|updated_at|createdAt|updatedAt
1|sysroot|1|NULL|NULL|NULL|NULL|NULL
2|GUEST|1|NULL|NULL|2020-02-17 07:32:06|NULL|NULL
3|USER|1|2|NULL|2020-02-17 07:32:06|NULL|NULL
4|TEACHER|1|3|NULL|2020-02-17 07:32:06|NULL|NULL
5|PRINCIPLE|1|4|NULL|2020-02-17 07:32:06|NULL|NULL
6|IT_ADMIN|1|4|NULL|2020-02-17 07:32:06|NULL|NULL
7|DISTRICT_ADMIN|1|6|NULL|2020-02-17 07:32:06|NULL|NULL
8|DISTRICT_IT_ADMIN|1|6|NULL|2020-02-17 07:32:06|NULL|NULL
9|SYS_ADMIN|1|7|NULL|2020-02-17 07:32:06|NULL|NULL
46|orgadmin|15|NULL|2017-08-08 20:06:49|2017-08-08 20:06:49|NULL|NULL
47|Super|15|NULL|2017-08-08 20:31:03|2017-08-08 20:31:03|NULL|NULL
48|VIEWER|15|47|2017-08-08 20:31:03|2017-08-08 20:31:03|NULL|NULL
49|SYS_ADMIN|15|47|2017-08-08 20:31:03|2017-08-08 20:31:03|NULL|NULL
50|USER|15|48|2017-08-08 20:31:03|2017-08-08 20:31:03|NULL|NULL
51|ADMIN|15|50|2017-08-08 20:31:03|2017-08-08 20:31:03|NULL|NULL
52|IT_ADMIN|15|51|2017-08-08 20:31:03|2017-08-08 20:31:03|NULL|NULL
59|orgadmin|NULL|NULL|2017-08-28 15:09:22|2017-08-28 15:09:22|NULL|NULL
62|orgadmin|23|NULL|2017-09-15 15:29:56|2017-09-15 15:29:56|NULL|NULL
65|orgadmin|25|NULL|2017-09-21 14:16:25|2017-09-21 14:16:25|NULL|NULL
122|orgadmin|32|NULL|2017-09-26 18:39:34|2017-09-26 18:39:34|NULL|NULL
123|guest|32|NULL|2017-09-26 18:54:06|2017-09-26 18:54:06|NULL|NULL
124|Teachers|32|123|2017-09-26 18:54:06|2017-09-26 18:54:06|NULL|NULL
125|Principal|32|124|2017-09-26 18:54:06|2017-09-26 18:54:06|NULL|NULL
126|CentralDirector|32|125|2017-09-26 18:54:06|2017-09-26 18:54:06|NULL|NULL
127|ITAdmin|32|126|2017-09-26 18:54:06|2017-09-26 18:54:06|NULL|NULL
128|admin|23|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
129|admin1|23|128|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
133|orgadmin|34|NULL|2017-10-24 20:04:14|2017-10-24 20:04:14|NULL|NULL
135|GUEST|34|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
136|DISTRICT_IT_ADMIN|34|135|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
137|orgadmin|36|NULL|NULL|NULL|NULL|NULL
139|GUEST|36|NULL|2017-10-28 18:26:14|2017-10-28 18:26:14|NULL|NULL
140|DEMO_USER|36|139|2017-10-28 18:26:14|2017-10-28 18:26:14|NULL|NULL
141|Admins|25|NULL|2017-11-20 14:05:52|2017-11-20 14:05:52|NULL|NULL
143|orgadmin|39|NULL|2018-03-07 13:21:54|2018-03-07 13:21:54|NULL|NULL
145|ITAdmin|39|NULL|2018-03-07 15:38:45|2018-03-07 15:38:45|NULL|NULL
151|orgadmin|42|NULL|2018-03-16 19:01:33|2018-03-16 19:01:33|NULL|NULL
152|SCHOOL_ADMIN|39|145|2018-04-12 14:04:41|2018-04-12 14:04:41|NULL|NULL
153|orgadmin|43|NULL|2018-04-16 18:19:22|2018-04-16 18:19:22|NULL|NULL
155|GUEST|43|NULL|2018-04-16 19:05:11|2018-04-16 19:05:11|NULL|NULL
156|DISTRICT_IT_ADMIN|43|155|2018-04-16 19:05:11|2018-04-16 19:05:11|NULL|NULL
157|orgadmin|44|NULL|2018-04-30 16:06:21|2018-04-30 16:06:21|NULL|NULL
158|orgadmin|45|NULL|2018-08-29 18:45:22|2018-08-29 18:45:22|NULL|NULL
159|orgadmin|46|NULL|2018-08-29 23:01:01|2018-08-29 23:01:01|NULL|NULL
160|orgadmin|NULL|NULL|2018-09-29 22:37:31|2018-09-29 22:37:31|NULL|NULL
161|orgadmin|NULL|NULL|2018-10-01 17:22:45|2018-10-01 17:22:45|NULL|NULL
162|orgadmin|49|NULL|2018-10-04 13:15:06|2018-10-04 13:15:06|NULL|NULL
163|orgadmin|NULL|NULL|2018-11-02 15:43:16|2018-11-02 15:43:16|NULL|NULL
164|orgadmin|NULL|NULL|2018-11-05 19:41:46|2018-11-05 19:41:46|NULL|NULL
165|orgadmin|NULL|NULL|2018-11-05 20:00:42|2018-11-05 20:00:42|NULL|NULL
166|orgadmin|NULL|NULL|2018-11-05 20:07:01|2018-11-05 20:07:01|NULL|NULL
167|orgadmin|NULL|NULL|2018-11-06 16:23:35|2018-11-06 16:23:35|NULL|NULL
168|orgadmin|NULL|NULL|2018-11-06 17:28:14|2018-11-06 17:28:14|NULL|NULL
169|orgadmin|NULL|NULL|2018-11-06 18:38:34|2018-11-06 18:38:34|NULL|NULL
170|orgadmin|NULL|NULL|2018-11-07 01:15:37|2018-11-07 01:15:37|NULL|NULL
171|orgadmin|58|NULL|2018-11-08 16:17:37|2018-11-08 16:17:37|NULL|NULL
172|orgadmin|59|NULL|2018-11-08 22:22:05|2018-11-08 22:22:05|NULL|NULL
173|orgadmin|60|NULL|2018-11-09 20:37:58|2018-11-09 20:37:58|NULL|NULL
174|orgadmin|NULL|NULL|2018-11-13 21:24:16|2018-11-13 21:24:16|NULL|NULL
175|orgadmin|NULL|NULL|2018-11-14 02:57:38|2018-11-14 02:57:38|NULL|NULL
176|GUEST|NULL|NULL|2018-11-14 03:04:19|2018-11-14 03:04:19|NULL|NULL
177|REPORT_VIEWER|NULL|176|2018-11-14 03:04:19|2018-11-14 03:04:19|NULL|NULL
178|SCHOOL_TEACHER|NULL|177|2018-11-14 03:04:19|2018-11-14 03:04:19|NULL|NULL
179|SCHOOL_PRINCIPAL|NULL|178|2018-11-14 03:04:19|2018-11-14 03:04:19|NULL|NULL
180|SCHOOL_ADMIN|NULL|179|2018-11-14 03:04:19|2018-11-14 03:04:19|NULL|NULL
181|DISTRICT_IT_ADMIN|NULL|180|2018-11-14 03:04:20|2018-11-14 03:04:20|NULL|NULL
182|DISTRICT_BUS_OFFICIAL|NULL|177|2018-11-14 03:04:20|2018-11-14 03:04:20|NULL|NULL
183|DISTRICT_SUPT|NULL|182|2018-11-14 03:04:20|2018-11-14 03:04:20|NULL|NULL
184|New_node|NULL|176|2018-11-14 03:04:20|2018-11-14 03:04:20|NULL|NULL
185|orgadmin|NULL|NULL|2018-11-15 02:48:15|2018-11-15 02:48:15|NULL|NULL
186|GUEST|58|NULL|2018-11-19 19:24:14|2018-11-19 19:24:14|NULL|NULL
187|REPORT_VIEWER|58|186|2018-11-19 19:24:15|2018-11-19 19:24:15|NULL|NULL
188|SCHOOL_TEACHER|58|187|2018-11-19 19:24:15|2018-11-19 19:24:15|NULL|NULL
189|SCHOOL_PRINCIPAL|58|188|2018-11-19 19:24:15|2018-11-19 19:24:15|NULL|NULL
190|SCHOOL_ADMIN|58|189|2018-11-19 19:24:15|2018-11-19 19:24:15|NULL|NULL
191|DISTRICT_IT_ADMIN|58|190|2018-11-19 19:24:15|2018-11-19 19:24:15|NULL|NULL
192|DISTRICT_BUS_OFFICIAL|58|187|2018-11-19 19:24:17|2018-11-19 19:24:17|NULL|NULL
193|DISTRICT_SUPT|58|192|2018-11-19 19:24:17|2018-11-19 19:24:17|NULL|NULL
194|orgadmin|61|NULL|2018-11-28 03:50:30|2018-11-28 03:50:30|NULL|NULL
195|GUEST|61|NULL|2018-11-28 05:13:30|2018-11-28 05:13:30|NULL|NULL
196|REPORT_VIEWER|61|195|2018-11-28 05:26:20|2018-11-28 05:26:20|NULL|NULL
197|SCHOOL_TEACHER|61|196|2018-11-28 05:26:20|2018-11-28 05:26:20|NULL|NULL
198|SCHOOL_PRINCIPAL|61|197|2018-11-28 05:26:21|2018-11-28 05:26:21|NULL|NULL
199|SCHOOL_ADMIN|61|198|2018-11-28 05:26:21|2018-11-28 05:26:21|NULL|NULL
200|DISTRICT_IT_ADMIN|61|199|2018-11-28 05:26:21|2018-11-28 05:26:21|NULL|NULL
201|DISTRICT_BUS_OFFICIAL|61|196|2018-11-28 05:26:21|2018-11-28 05:26:21|NULL|NULL
202|DISTRICT_SUPT|61|201|2018-11-28 05:26:21|2018-11-28 05:26:21|NULL|NULL
203|orgadmin|62|NULL|2018-11-29 19:12:50|2018-11-29 19:12:50|NULL|NULL
204|orgadmin|63|NULL|2018-11-29 19:37:08|2018-11-29 19:37:08|NULL|NULL
205|orgadmin|64|NULL|2018-12-12 18:42:08|2018-12-12 18:42:08|NULL|NULL
206|orgadmin|65|NULL|2018-12-13 22:33:54|2018-12-13 22:33:54|NULL|NULL
207|orgadmin|66|NULL|2018-12-15 00:43:15|2018-12-15 00:43:15|NULL|NULL
208|orgadmin|67|NULL|2019-02-21 15:02:39|2019-02-21 15:02:39|NULL|NULL
209|orgadmin|68|NULL|2019-03-04 19:13:47|2019-03-04 19:13:47|NULL|NULL
210|orgadmin|72|NULL|2019-03-07 18:38:57|2019-03-07 18:38:57|NULL|NULL
211|orgadmin|73|NULL|2019-04-12 12:35:42|2019-04-12 12:35:42|NULL|NULL
